recto,verso,archival_object_id,,note: completed rows removed from this tab
ws859n31g,,247888,,
ws85b813f,ws85b8125,,,
ws859s94k,ws859s95v,245351,,
ws859g18w,ws859g17m,249310,,
ws859h81v,ws859h735,,,
ws859k398,ws859k380,248485,,
ws85bb675,ws85bb66w,,,
ws859n021,,245119,,
ws85b853d,ws85b8524,,,
ws85b607w,ws85b596k,245841,,
ws859t00h,ws859t022,245354,,
ws85b5916,ws85b5895,255214,,
ws859w27b,ws859w28m,248080,,
ws85bb500,ws85bb497,,,
ws85b4219,ws85b294d,248084,,
ws85b5606,ws85b559f,248525,,
ws859p93p,ws859p94z,251462,,
ws85b5029,ws85b5011,254394,,
ws85b857h,ws85b8567,,,
ws859t13k,ws859t14v,248522,,
ws859t995,ws859v00q,245336,,
ws859t88n,ws859t89x,245334,,
ws859q457,ws859q46h,254334,,
ws859m18q,ws859m17f,245145,,
ws85bb52j,ws85bb518,,,
ws85b537d,ws85b5364,249437,,
ws85b4091,ws85b227j,249427,,
ws859x667,ws859x67h,255085,,
ws85b526w,,255588,,
ws85b7960,ws85b795q,,,
ws85bb87n,ws85bb764,,,
ws85b7803,ws85b779b,,,
ws85b952b,ws85b9512,,,
ws859v68c,ws859v673,255095,,
ws859h336,ws859h32x,254291,,
ws859p74g,ws859p75r,251453,,
ws859m920,,247848,,
ws859m88d,,252893,,
ws859w814,ws859w82d,255209,,
ws85b530g,ws85b529q,251511,,
ws859r60j,ws859r61t,255562,,
ws85bb78p,ws85bb77d,,,
ws859m14m,,247874,,
ws859p184,ws859p16k,255560,,
ws859g615,ws859g62f,249316,,
ws859p43g,ws859p44r,248513,,
ws85bc417,ws85bc42h,,,
ws859s89q,ws859s90g,245350,,
ws85bc442,ws85bc43s,,,
ws85bb586,ws85bb57x,,,
ws85b4529,ws85b4333,,,
ws859w74q,ws859w768,255207,,
ws85b867r,ws85b8681,,,
ws85b879j,ws85b8788,,,
ws859x41c,ws859x42n,255081,,
ws859w65r,ws859w679,255204,,
ws859q56r,ws859q571,254340,,
ws859q546,ws859q55g,254338,,
ws859q52n,ws859q53x,254338,,
ws859s98p,ws859s99z,245353,,
ws85b513t,ws85b512j,255136,,
ws859q00w,ws859q015,251465,,
ws85bb607,ws85bb59g,,,
ws859f94h,ws859f73r,245813,,
ws859s48g,ws859s476,248071,,
ws859m717,,250757,,
ws85bc87v,ws85bc86k,,,
ws859x23f,ws859x250,251492,,
ws85bc132,ws85bc11h,,,
