id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility
df738n61g,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b208_08917,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85096464,http://id.loc.gov/authorities/subjects/sh85012606,http://id.loc.gov/authorities/names/n82107414,http://id.loc.gov/authorities/subjects/sh85040193,,,,,,"Cottages facing ocean. Seaside, OR.",open
j3860n81j,Image,j3860n808,244840,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_00906_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,,PH037_b216_00906_print (recto),open
df71g638r,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b042_B00981,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85062487,,,,,,,,"Hotel Oregon, Broadway and Stark, Portland. Stagecoach in front of hotel.",open
jm215b49h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_T00014_print_copy1_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85100163,http://id.loc.gov/authorities/subjects/sh85050707,,,,,,,,PH037_b219_T00014_print_copy1 (verso),open
jm215879t,Image,jm215944x,254961,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_15512_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85078097,,,,,,PH037_b219_15512_print (recto),open
ws85bc175,Image,ws85bc16w,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_015r,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85105203,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh97003715,,,,,,,PH037_b239_015r (recto),open
jm2159812,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_24975_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85078804,http://id.loc.gov/authorities/subjects/sh85111077,,,,,,,PH037_b219_24975_print (verso),open
k35696679,Image,k35696661,243652,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_05050_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85146366,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85100163,,,,,,,PH037_b220_05050_print (recto),open
jm215b36f,Image,jm215b380,251434,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_R00084_print_copy1,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85137310,http://id.loc.gov/authorities/subjects/sh85050707,,,,,,,PH037_b219_R00084_print_copy1 (recto),open
df7376813,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b165_81124,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85134578,http://id.loc.gov/authorities/subjects/sh94000032,http://id.loc.gov/authorities/subjects/sh85134581,,,,,,,PH037_b165_81124,open
