id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df720082s,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b085_S00114,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh00006938,http://id.loc.gov/authorities/subjects/sh85114749,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh2011000200,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85111428,http://id.loc.gov/authorities/subjects/sh95008818,,PH037_b085_S00114 Angelus Studio Photographs,open,
df72ck053,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b123_Z01448,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2003004821,http://id.loc.gov/authorities/subjects/sh85068240,http://id.loc.gov/authorities/subjects/sh85127851,http://id.loc.gov/authorities/subjects/sh85127852,http://id.loc.gov/authorities/subjects/sh85095430,,,,,PH037_b123_Z01448 Angelus Studio Photographs,open,
df71fv23w,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b025_B00472,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85041793,http://id.loc.gov/authorities/subjects/sh85128633,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85128588,,,,,"Marion Hotel, Salem, with vacant lot on foreground corner.",open,
ws85b1636,Image,ws85b155h,245365,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b234_96259_print_copy1,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85085963,http://id.loc.gov/authorities/subjects/sh85012328,http://id.loc.gov/authorities/subjects/sh85105182,,,,,,PH037_b234_96259_print_copy1 (recto),open,
jm215c300,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_T05205_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85078097,,,,,,,,PH037_b219_T05205_print (verso),open,
ws859n51z,Image,ws859n50p,249393,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b230_H00427_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048556,http://id.loc.gov/authorities/subjects/sh85015159,http://id.loc.gov/authorities/subjects/sh85048486,http://id.loc.gov/authorities/subjects/sh85114250,,,,,,PH037_b230_H00427_print (recto),open,
df720145v,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b088_S00184,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh94009739,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85061891,http://id.loc.gov/authorities/subjects/sh85123771,http://id.loc.gov/authorities/subjects/sh85137241,,,,,PH037_b088_S00184 Angelus Studio Photographs,open,
ws85b579x,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_74987_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85145251,http://id.loc.gov/authorities/subjects/sh85128595,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,PH037_b236_74987_print (verso),open,
jm214r214,Image,jm214r193,244989,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_31536_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85062160,http://id.loc.gov/authorities/subjects/sh85034333,http://id.loc.gov/authorities/subjects/sh85097741,,,,,,PH037_b217_31536_print (recto),open,
df71fp40h,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b004_AG00161,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85056447,http://id.loc.gov/authorities/subjects/sh85143406,http://id.loc.gov/authorities/subjects/sh85056460,http://id.loc.gov/authorities/subjects/sh85144017,http://id.loc.gov/authorities/subjects/sh85016184,http://id.loc.gov/authorities/subjects/sh85143407,,,,PH037_b004_AG00161 Angelus Studio Photographs,open,
