id,model,children,archival_object_id,date_1,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,location_1,location_2,location_3,photographer_1,photographer_2,repository_1,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
kp78hj17v,Image,kp78hj16k,254237,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_SH00218_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85038703,,,,,,,,PH037_b215_SH00218_print (recto),open,
n870zs89x,Image,n870zs90p,254057,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b213_50477_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5746545/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85087168,http://id.loc.gov/authorities/subjects/sh85038703,http://id.loc.gov/authorities/subjects/sh85081274,http://id.loc.gov/authorities/subjects/sh2003004821,,,,,"Municipal Terminal #2, the 'Sunucentco' at dock (recto)",open,
df720k96n,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PHO37_b117_W00040,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5759332/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85005196,http://id.loc.gov/authorities/subjects/sh85104130,http://id.loc.gov/authorities/subjects/sh85047778,http://id.loc.gov/authorities/subjects/sh98006380,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85098119,http://id.loc.gov/authorities/subjects/sh97004879,http://id.loc.gov/authorities/subjects/sh87007869,,PHO37_b117_W00040 Angelus Studio Photographs,open,
n870zz25d,Image,n870zz14w,250541,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b227_35857_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5746545/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh95010030,http://id.loc.gov/authorities/subjects/sh85142486,http://id.loc.gov/authorities/subjects/sh85046823,http://id.loc.gov/authorities/subjects/sh95010029,,,,,,Portland Vegetable Oil Mills.(recto),open,
kp78hj88t,Image,kp78hj87j,247593,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_09057_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062480,http://id.loc.gov/authorities/subjects/sh85062487,,,,,,,,PH037_b215_09057_print (recto),open,
kp78hf95m,Image,kp78hf94b,247628,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b215_27845_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85010201,,,,,,,,PH037_b215_27845_print (recto),open,
df738q72d,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b210_74843_nitrate_copy1,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5750059/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85034369,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/names/n2003009113,http://id.loc.gov/authorities/subjects/sh85114250,,,,USS Portland passing under St. Johns Bridge,open,
ws85bc37n,Image,ws85bc36c,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_024r,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85079362,http://id.loc.gov/authorities/subjects/sh2003004821,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85105203,,,,,PH037_b239_024r (recto),open,
k3569c530,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_02458_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85015159,http://id.loc.gov/authorities/subjects/sh85038703,,,,,,,,PH037_b220_02458_print (verso),open,
ws859q64f,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_TR00063_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114555,http://id.loc.gov/authorities/subjects/sh85128633,http://id.loc.gov/authorities/subjects/sh85128595,http://id.loc.gov/authorities/subjects/sh85137027,,,,,,Automobile streetcar on tracks. (verso),open,
